,date,Camas UCI Habilitadas,Camas no Covid-19 ocupadas
0,Serie,Camas UCI habilitadas,Camas UCI ocupadas no COVID-19
1,2020-04-14,1550,597
2,2020-04-15,1563,602
3,2020-04-16,1582,628
4,2020-04-17,1604,665
5,2020-04-18,1627,666
6,2020-04-19,1627,680
7,2020-04-20,1621,691
8,2020-04-21,1614,694
9,2020-04-22,1619,663
10,2020-04-23,1622,671
11,2020-04-24,1625,666
12,2020-04-25,1630,643
13,2020-04-26,1702,656
14,2020-04-27,1702,682
15,2020-04-28,1700,699
16,2020-04-29,1705,691
17,2020-04-30,1708,672
18,2020-05-01,1710,673
19,2020-05-02,1825,685
20,2020-05-03,1825,687
21,2020-05-04,1825,704
22,2020-05-05,1825,699
23,2020-05-06,1825,696
24,2020-05-07,1825,690
25,2020-05-08,1825,686
26,2020-05-09,1825,711
27,2020-05-10,1825,701
28,2020-05-11,1912,702
29,2020-05-12,1912,688
30,2020-05-13,1912,696
31,2020-05-14,1912,686
32,2020-05-15,1912,742
33,2020-05-16,1912,729
34,2020-05-17,2130,754
35,2020-05-18,2130,728
36,2020-05-19,2130,771
37,2020-05-20,2130,797
38,2020-05-21,2130,811
39,2020-05-22,2177,769
40,2020-05-23,2250,824
41,2020-05-24,2318,835
42,2020-05-25,2347,823
43,2020-05-26,2370,790
44,2020-05-27,2417,797
45,2020-05-28,2479,783
46,2020-05-29,2518,802
47,2020-05-30,2544,831
48,2020-05-31,2576,817
49,2020-06-01,2604,867
50,2020-06-02,2744,929
51,2020-06-03,2744,917
52,2020-06-04,2739,907
53,2020-06-05,2767,915
54,2020-06-06,2774,905
55,2020-06-07,2823,916
56,2020-06-08,2858,959
57,2020-06-09,2906,1005
58,2020-06-10,2873,945
59,2020-06-11,2878,901
60,2020-06-12,2863,897
61,2020-06-13,2894,874
62,2020-06-14,2898,870
63,2020-06-15,3017,899
64,2020-06-16,3014,843
65,2020-06-17,3014,813
66,2020-06-18,3014,752
67,2020-06-19,3014,741
68,2020-06-20,3014,707
69,2020-06-21,3018,702
70,2020-06-22,3018,725
71,2020-06-23,3022,719
72,2020-06-24,3023,665
73,2020-06-25,3039,653
74,2020-06-26,3046,651
75,2020-06-27,3040,644
76,2020-06-28,3080,688
77,2020-06-29,3107,710
78,2020-06-30,3114,746
79,2020-07-01,3102,729
80,2020-07-02,3120,737
81,2020-07-03,3135,769
82,2020-07-04,3143,747
83,2020-07-05,3175,756
84,2020-07-06,3170,759
85,2020-07-07,3180,784
86,2020-07-08,3180,817
87,2020-07-09,3200,826
88,2020-07-10,3216,792
89,2020-07-11,3182,734
90,2020-07-12,3184,787
