,date,60 o mas,Menores de 60,Totales
0,2020-03-26,35.0,205.0,240.0
1,2020-03-27,30.0,152.0,182.0
2,2020-03-28,45.0,244.0,289.0
3,2020-03-29,38.0,145.0,183.0
4,2020-03-30,29.0,153.0,182.0
5,2020-03-31,40.0,245.0,285.0
6,2020-04-01,70.0,301.0,371.0
7,2020-04-02,33.0,161.0,194.0
8,2020-04-03,69.0,391.0,460.0
9,2020-04-04,78.0,309.0,387.0
10,2020-04-05,42.0,255.0,297.0
11,2020-04-06,44.0,220.0,264.0
12,2020-04-07,59.0,212.0,271.0
13,2020-04-08,116.0,664.0,780.0
14,2020-04-09,74.0,339.0,413.0
15,2020-04-10,89.0,393.0,482.0
16,2020-04-11,75.0,335.0,410.0
17,2020-04-12,52.0,262.0,314.0
18,2020-04-13,48.0,348.0,396.0
19,2020-04-14,68.0,236.0,304.0
20,2020-04-15,82.0,418.0,500.0
21,2020-04-16,78.0,446.0,524.0
22,2020-04-17,99.0,413.0,512.0
23,2020-04-18,79.0,399.0,478.0
24,2020-04-19,54.0,304.0,358.0
25,2020-04-20,59.0,304.0,363.0
26,2020-04-21,49.0,332.0,381.0
27,2020-04-22,70.0,394.0,464.0
28,2020-04-23,79.0,437.0,516.0
29,2020-04-24,48.0,354.0,402.0
30,2020-04-25,74.0,497.0,571.0
31,2020-04-26,80.0,419.0,499.0
32,2020-04-27,70.0,350.0,420.0
33,2020-04-28,119.0,539.0,658.0
34,2020-04-29,110.0,767.0,877.0
35,2020-04-30,110.0,772.0,882.0
36,2020-05-01,113.0,774.0,887.0
37,2020-05-02,179.0,1246.0,1425.0
38,2020-05-03,160.0,903.0,1063.0
39,2020-05-04,163.0,908.0,1071.0
40,2020-05-05,156.0,1063.0,1219.0
41,2020-05-06,158.0,1067.0,1225.0
42,2020-05-07,219.0,1248.0,1467.0
43,2020-05-08,221.0,1253.0,1474.0
44,2020-05-09,195.0,1165.0,1360.0
45,2020-05-10,197.0,1168.0,1365.0
46,2020-05-11,197.0,1173.0,1370.0
47,2020-05-12,309.0,2052.0,2361.0
48,2020-05-13,311.0,2056.0,2367.0
49,2020-05-14,310.0,2053.0,2363.0
50,2020-05-15,313.0,2060.0,2373.0
51,2020-05-16,308.0,1866.0,2174.0
52,2020-05-17,311.0,1868.0,2179.0
53,2020-05-18,312.0,1872.0,2184.0
54,2020-05-19,550.0,3394.0,3944.0
55,2020-05-20,552.0,3401.0,3953.0
56,2020-05-21,552.0,3396.0,3948.0
57,2020-05-22,553.0,3402.0,3955.0
58,2020-05-23,562.0,3483.0,4045.0
59,2020-05-24,562.0,3487.0,4049.0
60,2020-05-25,563.0,3490.0,4053.0
61,2020-05-26,664.0,3490.0,4154.0
62,2020-05-27,667.0,3494.0,4161.0
63,2020-05-28,665.0,3493.0,4158.0
64,2020-05-29,667.0,3499.0,4166.0
65,2020-05-30,803.0,4033.0,4836.0
66,2020-05-31,804.0,4035.0,4839.0
67,2020-06-01,806.0,4042.0,4848.0
68,2020-06-02,690.0,3638.0,4328.0
69,2020-06-03,693.0,3644.0,4337.0
70,2020-06-04,693.0,3641.0,4334.0
71,2020-06-05,694.0,3645.0,4339.0
72,2020-06-06,897.0,4547.0,5444.0
73,2020-06-07,898.0,4550.0,5448.0
74,2020-06-08,901.0,4554.0,5455.0
75,2020-06-09,984.0,4509.0,5493.0
76,2020-06-10,986.0,4516.0,5502.0
77,2020-06-11,986.0,4511.0,5497.0
78,2020-06-12,987.0,4519.0,5506.0
79,2020-06-13,1069.0,5124.0,6193.0
80,2020-06-14,1070.0,5126.0,6196.0
81,2020-06-15,1072.0,5129.0,6201.0
82,2020-06-16,2005.0,10969.0,12974.0
