,date,<=39,40-49,50-59,60-69,>=70,60 o mas,Menores de 60,Totales
0,2020-04-01,23,23,53,39,35,74,99,173
1,2020-04-02,23,27,67,46,37,83,117,200
2,2020-04-03,26,34,74,56,47,103,134,237
3,2020-04-04,40,36,84,68,52,120,160,280
4,2020-04-05,40,40,89,75,63,138,169,307
5,2020-04-06,38,40,95,78,76,154,173,327
6,2020-04-07,39,38,101,82,77,159,178,337
7,2020-04-08,42,39,109,93,79,172,190,362
8,2020-04-09,46,48,102,89,75,164,196,360
9,2020-04-10,45,48,111,99,80,179,204,383
10,2020-04-11,43,50,111,100,79,179,204,383
11,2020-04-12,41,48,110,106,82,188,199,387
12,2020-04-13,40,45,112,106,84,190,197,387
13,2020-04-14,42,43,105,105,84,189,190,379
14,2020-04-15,42,45,107,110,85,195,194,389
15,2020-04-16,41,43,103,111,86,197,187,384
16,2020-04-17,38,44,109,107,87,194,191,385
17,2020-04-18,34,41,98,103,84,187,173,360
18,2020-04-19,38,40,96,111,88,199,174,373
19,2020-04-20,41,38,96,112,90,202,175,377
20,2020-04-21,41,42,97,121,91,212,180,392
21,2020-04-22,44,43,96,120,96,216,183,399
22,2020-04-23,55,40,99,120,97,217,194,411
23,2020-04-24,58,45,100,113,99,212,203,415
24,2020-04-25,61,40,102,114,101,215,203,418
25,2020-04-26,61,41,101,111,101,212,203,415
26,2020-04-27,63,39,105,112,107,219,207,426
27,2020-04-28,64,39,105,115,105,220,208,428
28,2020-04-29,58,36,105,108,111,219,199,418
29,2020-04-30,52,41,103,115,108,223,196,419
30,2020-05-01,50,44,108,115,111,226,202,428
31,2020-05-02,52,42,111,110,110,220,205,425
32,2020-05-03,55,45,118,117,114,231,218,449
33,2020-05-04,55,50,122,123,114,237,227,464
34,2020-05-05,54,50,115,130,121,251,219,470
35,2020-05-06,53,48,123,141,121,262,224,486
36,2020-05-07,53,52,127,138,123,261,232,493
37,2020-05-08,53,56,124,149,126,275,233,508
38,2020-05-09,59,66,134,154,131,285,259,544
39,2020-05-10,61,68,139,160,137,297,268,565
40,2020-05-11,62,73,136,166,137,303,271,574
41,2020-05-12,73,71,145,176,139,315,289,604
42,2020-05-13,77,75,152,188,150,338,304,642
43,2020-05-14,78,77,162,197,149,346,317,663
44,2020-05-15,82,84,182,213,150,363,348,711
45,2020-05-16,94,95,188,214,160,374,377,751
46,2020-05-17,95,94,196,217,167,384,385,769
47,2020-05-18,100,98,211,222,176,398,409,807
48,2020-05-19,110,111,231,242,182,424,452,876
49,2020-05-20,111,117,233,256,187,443,461,904
50,2020-05-21,120,117,247,266,193,459,484,943
51,2020-05-22,128,121,256,288,193,481,505,986
52,2020-05-23,132,127,280,318,205,523,539,1062
53,2020-05-24,131,123,292,331,213,544,546,1090
54,2020-05-25,136,128,307,345,219,564,571,1135
55,2020-05-26,137,141,336,357,231,588,614,1202
56,2020-05-27,135,145,369,366,236,602,649,1251
57,2020-05-28,142,153,373,378,243,621,668,1289
58,2020-05-29,137,162,395,410,246,656,694,1350
59,2020-05-30,133,161,404,431,242,673,698,1371
60,2020-05-31,130,160,403,439,251,690,693,1383
61,2020-06-01,133,170,414,470,259,729,717,1446
62,2020-06-02,140,173,414,472,252,724,727,1451
63,2020-06-03,143,173,413,489,257,746,729,1475
64,2020-06-04,135,179,424,486,272,758,738,1496
65,2020-06-05,143,180,426,496,276,772,749,1521
66,2020-06-06,144,181,427,499,273,772,752,1524
67,2020-06-07,145,176,436,522,279,801,757,1558
68,2020-06-08,147,184,440,527,283,810,771,1581
69,2020-06-09,139,185,444,523,286,809,768,1577
70,2020-06-10,142,189,447,519,293,812,778,1590
71,2020-06-11,148,196,463,519,292,811,807,1618
72,2020-06-12,152,207,467,526,295,821,826,1647
73,2020-06-13,152,212,470,518,304,822,834,1656
74,2020-06-14,153,216,488,544,314,858,857,1715
75,2020-06-15,153,215,492,547,316,863,860,1723
76,2020-06-16,154,223,490,550,310,860,867,1727
77,2020-06-17,153,230,508,580,323,903,891,1794
78,2020-06-18,162,238,516,595,334,929,916,1845
79,2020-06-19,169,238,541,623,340,963,948,1911
80,2020-06-20,172,254,548,630,347,977,974,1951
81,2020-06-21,177,256,565,647,351,998,998,1996
82,2020-06-22,179,259,559,661,356,1017,997,2014
83,2020-06-23,176,261,556,666,350,1016,993,2009
84,2020-06-24,175,262,557,689,363,1052,994,2046
85,2020-06-25,179,265,563,701,370,1071,1007,2078
86,2020-06-26,176,256,568,721,365,1086,1000,2086
87,2020-06-27,171,245,573,733,368,1101,989,2090
88,2020-06-28,171,244,572,763,379,1142,987,2129
89,2020-06-29,166,238,551,752,383,1135,955,2090
90,2020-06-30,165,241,555,755,390,1145,961,2106
91,2020-07-01,162,232,539,750,392,1142,933,2075
92,2020-07-02,172,232,544,766,385,1151,948,2099
93,2020-07-03,167,234,544,766,396,1162,945,2107
94,2020-07-04,161,229,540,755,392,1147,930,2077
95,2020-07-05,157,221,536,759,405,1164,914,2078
96,2020-07-06,156,215,522,765,411,1176,893,2069
97,2020-07-07,154,211,521,767,407,1174,886,2060
98,2020-07-08,142,216,514,759,422,1181,872,2053
99,2020-07-09,141,208,494,734,422,1156,843,1999
100,2020-07-10,142,210,488,726,424,1150,840,1990
101,2020-07-11,145,206,496,720,432,1152,847,1999
102,2020-07-12,143,198,498,723,433,1156,839,1995
103,2020-07-13,135,188,482,696,430,1126,805,1931
104,2020-07-14,139,191,471,686,428,1114,801,1915
105,2020-07-15,143,189,465,663,418,1081,797,1878
106,2020-07-16,132,181,451,643,414,1057,764,1821
107,2020-07-17,130,184,441,631,410,1041,755,1796
108,2020-07-18,130,187,433,633,409,1042,750,1792
109,2020-07-19,120,180,430,629,405,1034,730,1764
110,2020-07-20,121,180,423,623,406,1029,724,1753
111,2020-07-21,115,175,420,615,403,1018,710,1728
112,2020-07-22,112,169,396,597,414,1011,677,1688
113,2020-07-23,112,168,380,590,420,1010,660,1670
114,2020-07-24,117,157,365,566,431,997,639,1636
115,2020-07-25,116,149,357,560,430,990,622,1612
116,2020-07-26,116,144,347,547,438,985,607,1592
117,2020-07-27,113,139,340,530,433,963,592,1555
118,2020-07-28,113,137,332,520,427,947,582,1529
119,2020-07-29,112,128,318,517,410,927,558,1485
120,2020-07-30,99,129,309,509,417,926,537,1463
121,2020-07-31,97,123,318,489,418,907,538,1445
122,2020-08-01,97,123,318,489,418,907,538,1445
123,2020-08-02,97,123,319,490,408,898,539,1437
124,2020-08-03,94,120,314,487,404,891,528,1419
125,2020-08-04,91,121,314,474,405,879,526,1405
126,2020-08-05,90,121,319,468,402,870,530,1400
127,2020-08-06,89,115,308,463,383,846,512,1358
128,2020-08-07,98,112,302,461,375,836,512,1348
129,2020-08-08,89,105,303,447,361,808,497,1305
130,2020-08-09,78,106,304,432,356,788,488,1276
131,2020-08-10,79,106,306,427,362,789,491,1280
132,2020-08-11,73,106,301,422,366,788,480,1268
133,2020-08-12,73,105,295,420,362,782,473,1255
134,2020-08-13,71,105,293,435,355,790,469,1259
135,2020-08-14,75,103,294,424,356,780,472,1252
136,2020-08-15,70,96,283,412,346,758,449,1207
137,2020-08-16,72,97,274,400,347,747,443,1190
138,2020-08-17,74,98,265,397,343,740,437,1177
139,2020-08-18,73,96,263,391,334,725,432,1157
140,2020-08-19,69,88,251,383,329,712,408,1120
141,2020-08-20,66,88,242,364,317,681,396,1077
142,2020-08-21,68,90,240,360,314,674,398,1072
143,2020-08-22,68,89,234,367,300,667,391,1058
144,2020-08-23,65,88,225,357,292,649,378,1027
145,2020-08-24,68,86,224,347,289,636,378,1014
146,2020-08-25,66,87,223,345,290,635,376,1011
147,2020-08-26,64,84,220,350,286,636,368,1004
148,2020-08-27,59,86,225,352,290,642,370,1012
149,2020-08-28,60,88,220,340,287,627,368,995
150,2020-08-29,59,81,210,325,284,609,350,959
151,2020-08-30,59,80,213,328,280,608,352,960
152,2020-08-31,62,77,212,335,283,618,351,969
153,2020-09-01,60,76,211,334,281,615,347,962
154,2020-09-02,61,75,207,329,275,604,343,947
155,2020-09-03,65,75,204,320,276,596,344,940
156,2020-09-04,70,69,207,319,267,586,346,932
157,2020-09-05,63,67,203,313,262,575,333,908
158,2020-09-06,60,70,200,312,267,579,330,909
159,2020-09-07,65,68,203,317,277,594,336,930
160,2020-09-08,66,70,203,310,281,591,339,930
161,2020-09-09,67,70,202,317,286,603,339,942
162,2020-09-10,61,72,199,323,296,619,332,951
163,2020-09-11,59,69,194,307,289,596,322,918
164,2020-09-12,60,67,187,305,289,594,314,908
165,2020-09-13,64,66,185,308,283,591,315,906
166,2020-09-14,63,68,188,305,282,587,319,906
167,2020-09-15,64,69,189,307,276,583,322,905
168,2020-09-16,64,67,183,307,277,584,314,898
169,2020-09-17,63,64,184,305,279,584,311,895
170,2020-09-18,64,66,185,308,279,587,315,902
171,2020-09-19,62,62,183,304,283,587,307,894
172,2020-09-20,62,62,182,310,285,595,306,901
173,2020-09-21,63,65,186,312,289,601,314,915
174,2020-09-22,62,64,186,310,296,606,312,918
175,2020-09-23,60,69,187,301,290,591,316,907
176,2020-09-24,56,71,182,294,287,581,309,890
177,2020-09-25,58,68,179,284,302,586,305,891
178,2020-09-26,51,68,185,293,298,591,304,895
179,2020-09-27,54,72,176,296,290,586,302,888
180,2020-09-28,50,74,175,287,298,585,299,884
181,2020-09-29,48,71,169,282,295,577,288,865
182,2020-09-30,46,69,163,287,284,571,278,849
183,2020-10-01,45,66,162,278,298,576,273,849
184,2020-10-02,47,67,168,287,299,586,282,868
185,2020-10-03,47,68,168,275,291,566,283,849
186,2020-10-04,45,67,173,280,291,571,285,856
187,2020-10-05,44,65,176,272,296,568,285,853
