Dosis,datetime,60 o mas,Menores de 60,>=70,60-69,50-59,40-49,<=39,60 o mas (%),Menores de 60 (%)
Primera,2021-02-21 10:39:04 -0300,1906756.0,926040.0,1199554.0,707202.0,181170.0,220760.0,524110.0,0.5738689768024335,0.05863396982633761
Primera,2021-02-21 23:00:26 -0300,1908632.0,927233.0,1200185.0,708447.0,181413.0,221074.0,524746.0,0.5744335892648993,0.058709506872256595
Primera,2021-02-22 16:48:09 +0000,1931934.0,937102.0,1207482.0,724452.0,187296.0,222565.0,527241.0,0.5814467020582773,0.05933438122780941
Primera,2021-02-22 23:55:53 +0000,1972755.0,966058.0,1222845.0,749910.0,205814.0,227556.0,532688.0,0.5937324405072724,0.061167785001179274
Primera,2021-02-23 16:34:39 +0000,1990587.0,984316.0,1229236.0,761351.0,217977.0,230759.0,535580.0,0.5990992685620109,0.06232382471986235
Primera,2021-02-24 22:49:29 +0000,2054310.0,1069585.0,1256288.0,798022.0,250837.0,269232.0,549516.0,0.6182777333518327,0.06772279233802353
Primera,2021-02-25 16:30:04 +0000,2065491.0,1086680.0,1260744.0,804747.0,253512.0,280285.0,552883.0,0.6216428356667739,0.06880519451739077
Primera,2021-02-26 08:01:24 -0300,2086757.0,1124422.0,1270142.0,816615.0,259272.0,303286.0,561864.0,0.6280431814166656,0.07119490045793939
Primera,2021-02-26 17:32:14 +0000,2099002.0,1139196.0,1274848.0,824154.0,263192.0,308387.0,567617.0,0.6317285116953933,0.07213034414310883
Primera,2021-02-27 12:17:46 +0000,2118650.0,1170436.0,1283180.0,835470.0,270549.0,317165.0,582722.0,0.637641894244715,0.07410836368586593
Primera,2021-02-27 20:59:14 -0300,2122281.0,1181364.0,1284621.0,837660.0,272192.0,319382.0,589790.0,0.6387347022677498,0.07480029062451028
Primera,2021-02-28 12:40:03 -0300,2122487.0,1182300.0,1284724.0,837763.0,272332.0,319602.0,590366.0,0.6387967012908137,0.07485955523052887
Primera,2021-03-01 13:02:09 +0000,2122680.0,1182534.0,1284798.0,837882.0,272369.0,319641.0,590524.0,0.6388547877541697,0.07487437138203351
Primera,2021-03-02 15:35:40 +0000,2205602.0,1228385.0,1292143.0,913459.0,278156.0,325777.0,624452.0,0.6638115013003242,0.07777751395741622
Primera,2021-03-02 16:26:07 +0000,2259015.0,1253311.0,1295056.0,963959.0,280657.0,328493.0,644161.0,0.6798870052756353,0.07935575067709495
Primera,2021-03-02 23:46:54 +0000,2303480.0,1289043.0,1298848.0,1004632.0,283872.0,331888.0,673283.0,0.6932694643073731,0.08161818967523186
Primera,2021-03-03 17:51:59 +0000,2342413.0,1304557.0,1300809.0,1041604.0,285541.0,333431.0,685585.0,0.7049869787003259,0.08260048785661257
Primera,2021-03-04 02:05:27 +0000,2403883.0,1345609.0,1305216.0,1098667.0,289407.0,337272.0,718930.0,0.7234873667961523,0.08519977269237648
Primera,2021-03-04 15:47:59 +0000,2445570.0,1360117.0,1307289.0,1138281.0,291177.0,338907.0,730033.0,0.7360337419149211,0.08611837408566458
Primera,2021-03-05 01:37:50 +0000,2504754.0,1390213.0,1311613.0,1193141.0,294874.0,342358.0,752981.0,0.7538461214344166,0.08802395910995452
Primera,2021-03-05 16:11:41 +0000,2547126.0,1401571.0,1313641.0,1233485.0,297051.0,344047.0,760473.0,0.7665986583531795,0.08874311230991083
Primera,2021-03-06 02:00:36 +0000,2608017.0,1423795.0,1317676.0,1290341.0,301166.0,347388.0,775241.0,0.7849247870589379,0.09015026680153164
Primera,2021-03-06 15:29:55 +0000,2614615.0,1426921.0,1318170.0,1296445.0,301822.0,347930.0,777169.0,0.7869105615937722,0.09034819538958089
Primera,2021-03-06 22:28:29 +0000,2618294.0,1429359.0,1318653.0,1299641.0,302416.0,348398.0,778545.0,0.7880178159911131,0.090502561959531
Primera,2021-03-07 17:09:15 +0000,2619061.0,1430045.0,1318727.0,1300334.0,302592.0,348536.0,778917.0,0.7882486570138802,0.0905459973438566
